10:19:05.330 a. m. 14/06/2025	 New Event added to: MoneyControl.lvlib	 Type: Singleton	 Name:Credito Actualizado	 Type:Broadcast	 Scope:Public Request	 Description: Este es el broadcast para cada vez que se actualiza el crédito.
10:20:50.315 a. m. 14/06/2025	 New Event added to: MoneyControl.lvlib	 Type: Singleton	 Name:Cancelar	 Type:Request	 Scope:Public Request	 Description: Regresa la totalidad del crédito actual
11:06:44.683 a. m. 14/06/2025	 New Event added to: ProductControl.lvlib	 Type: Singleton	 Name:Seleccion Producto Actualizada	 Type:Broadcast	 Scope:Public Request	 Description: Seleccion Producto Actualizada
09:26:42.594 a. m. 21/06/2025	 New Event added to: MoneyControl.lvlib	 Type: Singleton	 Name:Regresa Cambio	 Type:Request	 Scope:Public Request	 Description: Al realizar una venta, se necesita regresar el cambio al comprador
09:35:12.011 a. m. 21/06/2025	 New Event added to: ProductControl.lvlib	 Type: Singleton	 Name:Cargar Productos	 Type:Request	 Scope:Private Request	 Description: Cargar productos despues de que la tabla este lista
09:39:25.505 a. m. 21/06/2025	 New Event added to: ProductControl.lvlib	 Type: Singleton	 Name:Vender Producto	 Type:Request	 Scope:Public Request	 Description: Vender producto
